policy,seed,oracle_coverage,n_oracle,n_eval,alpha,mean,mean_se,mean_ci_lo,mean_ci_hi,oracle_truth,cvar,cvar_ci_lo,cvar_ci_hi,cvar_t_hat,cvar_empirical_truth,audit_p_value,audit_reject,n_bootstrap_failures
clone,0,0.25,1247,5000,0.01,0.7647887348304252,0.002343023479920213,0.7582834587582372,0.7712940109026132,0.7619779999999999,0.07185742838594933,0.047539251430073,0.09115542750984049,0.10306799999999994,0.072,0.8740236390832379,false,0
clone,0,0.25,1247,5000,0.05,0.7647887348304252,0.002343023479920213,0.7582834587582372,0.7712940109026132,0.7619779999999999,0.17608675340419164,0.15145268140287868,0.20877706875834579,0.2886666666666666,0.16924603174603173,0.7992917423596989,false,0
clone,0,0.25,1247,5000,0.1,0.7647887348304252,0.002343023479920213,0.7582834587582372,0.7712940109026132,0.7619779999999999,0.2623222910692718,0.2362979948871259,0.28910409772366996,0.40766666666666673,0.2689667250437829,0.5263434063949015,false,0
clone,0,0.25,1247,5000,0.2,0.7647887348304252,0.002343023479920213,0.7582834587582372,0.7712940109026132,0.7619779999999999,0.3865005639612345,0.35977748589738223,0.41335522625395543,0.59336,0.3763565891472868,0.46202605205369074,false,0
premium,0,0.25,1247,5000,0.01,0.7682787388089485,0.0021585630549386067,0.7622856069808034,0.7742718706370936,0.76226,0.0720782590217875,0.04752411727044126,0.09253951722157816,0.10306799999999994,0.09015151515151514,0.8692667605831834,false,0
premium,0,0.25,1247,5000,0.05,0.7682787388089485,0.0021585630549386067,0.7622856069808034,0.7742718706370936,0.76226,0.1795648174910079,0.15361478361768333,0.20930781102852122,0.2886666666666666,0.18,0.7513069515018189,false,0
premium,0,0.25,1247,5000,0.1,0.7682787388089485,0.0021585630549386067,0.7622856069808034,0.7742718706370936,0.76226,0.26672640403301584,0.24058415854349416,0.2962169563572826,0.40766666666666673,0.2567366412213741,0.1772733253776212,false,0
premium,0,0.25,1247,5000,0.2,0.7682787388089485,0.0021585630549386067,0.7622856069808034,0.7742718706370936,0.76226,0.3911828046354753,0.36435810048042855,0.41535890243762125,0.59336,0.39660808435852374,0.17256073004256844,false,0
parallel_universe_prompt,0,0.25,1247,5000,0.01,0.7754543307256813,0.001867446755555134,0.7702694673220027,0.7806391941293598,0.770834,0.07185702329627985,0.048141950585859336,0.09452028789449887,0.10306799999999994,0.07903846153846153,0.9085064257001167,false,0
parallel_universe_prompt,0,0.25,1247,5000,0.05,0.7754543307256813,0.001867446755555134,0.7702694673220027,0.7806391941293598,0.770834,0.1793756278079876,0.1552993815407835,0.20616027258165823,0.2886666666666666,0.17513944223107572,0.7372721488717087,false,0
parallel_universe_prompt,0,0.25,1247,5000,0.1,0.7754543307256813,0.001867446755555134,0.7702694673220027,0.7806391941293598,0.770834,0.2681942241294356,0.24309851010792954,0.29592819765095885,0.40766666666666673,0.26734463276836157,0.7752380937915867,false,0
parallel_universe_prompt,0,0.25,1247,5000,0.2,0.7754543307256813,0.001867446755555134,0.7702694673220027,0.7806391941293598,0.770834,0.39559709583202357,0.36681384009186413,0.4224670672994922,0.59336,0.4058043875685558,0.564390028525799,false,0
unhelpful,0,0.25,1247,5000,0.01,0.4478648928003382,0.03795558781880528,0.3424832867859113,0.5532464988147651,0.142636,0.014742627302996589,0.007715335327388511,0.054055183814972214,0.016559999999999908,0.0,0.003222478576450416,true,0
unhelpful,0,0.25,1247,5000,0.05,0.4478648928003382,0.03795558781880528,0.3424832867859113,0.5532464988147651,0.142636,0.02978093913143913,0.01684833173796983,0.0652594778466514,0.03516666666666668,0.0,2.3971392104638056e-7,true,0
unhelpful,0,0.25,1247,5000,0.1,0.4478648928003382,0.03795558781880528,0.3424832867859113,0.5532464988147651,0.142636,0.03891328586278588,0.023297761724137916,0.07536253976129031,0.04800000000000004,0.0,0.0,true,0
unhelpful,0,0.25,1247,5000,0.2,0.4478648928003382,0.03795558781880528,0.3424832867859113,0.5532464988147651,0.142636,0.058956298104921895,0.03312982528203971,0.09671755869631171,0.08935333333333334,0.0,0.0,true,0
clone,1,0.25,1247,5000,0.01,0.756787592730812,0.003309956133327028,0.7475976812260168,0.7659775042356072,0.7619779999999999,0.0636963714321106,0.0449626140392786,0.08856989958180125,0.10933333333333328,0.072,0.816085846972641,false,0
clone,1,0.25,1247,5000,0.05,0.756787592730812,0.003309956133327028,0.7475976812260168,0.7659775042356072,0.7619779999999999,0.16907825313575314,0.14326254909101818,0.1954608888690676,0.265,0.16924603174603173,0.9964268562082578,false,0
clone,1,0.25,1247,5000,0.1,0.756787592730812,0.003309956133327028,0.7475976812260168,0.7659775042356072,0.7619779999999999,0.24239955573967098,0.22180396776246888,0.27039911789402926,0.3815000000000004,0.2689667250437829,0.7850313377992499,false,0
clone,1,0.25,1247,5000,0.2,0.756787592730812,0.003309956133327028,0.7475976812260168,0.7659775042356072,0.7619779999999999,0.3592401179238637,0.330931449420122,0.3877921376541955,0.5720000000000001,0.3763565891472868,0.7655983264363532,false,0
premium,1,0.25,1247,5000,0.01,0.7641487998805038,0.003062602134277578,0.7556456531756205,0.772651946585387,0.76226,0.06368729535842582,0.04416143723246495,0.08867321097582037,0.10933333333333328,0.09015151515151514,0.0677054588407745,false,0
premium,1,0.25,1247,5000,0.05,0.7641487998805038,0.003062602134277578,0.7556456531756205,0.772651946585387,0.76226,0.1704306379087901,0.14787826909882412,0.1991634783804085,0.265,0.18,0.6702470018798814,false,0
premium,1,0.25,1247,5000,0.1,0.7641487998805038,0.003062602134277578,0.7556456531756205,0.772651946585387,0.76226,0.24538139028467507,0.2212808527414115,0.2739058608982869,0.3815000000000004,0.2567366412213741,0.6990350141511688,false,0
premium,1,0.25,1247,5000,0.2,0.7641487998805038,0.003062602134277578,0.7556456531756205,0.772651946585387,0.76226,0.36374788834362104,0.33613038375234533,0.39081303755411706,0.5720000000000001,0.39660808435852374,0.6491446174747277,false,0
parallel_universe_prompt,1,0.25,1247,5000,0.01,0.7703288883746835,0.0031134448914365066,0.7616845795455516,0.7789731972038154,0.770834,0.06341407899347032,0.04653200605584903,0.08794719290269018,0.10933333333333328,0.07903846153846153,0.40482519326121047,false,0
parallel_universe_prompt,1,0.25,1247,5000,0.05,0.7703288883746835,0.0031134448914365066,0.7616845795455516,0.7789731972038154,0.770834,0.17153082176277828,0.14639011422791637,0.19480471530704996,0.265,0.17513944223107572,0.949356714475227,false,0
parallel_universe_prompt,1,0.25,1247,5000,0.1,0.7703288883746835,0.0031134448914365066,0.7616845795455516,0.7789731972038154,0.770834,0.24818015155906897,0.2212842011528072,0.27230733937722823,0.3815000000000004,0.26734463276836157,0.6833819202039448,false,0
parallel_universe_prompt,1,0.25,1247,5000,0.2,0.7703288883746835,0.0031134448914365066,0.7616845795455516,0.7789731972038154,0.770834,0.3696329216093086,0.3435558224637826,0.39881750445346636,0.5720000000000001,0.4058043875685558,0.23324987389075125,false,0
unhelpful,1,0.25,1247,5000,0.01,0.3186101778057927,0.0521922551264293,0.17370124653078364,0.46351910908080174,0.142636,0.023333333333333317,0.009999999999999898,0.043333333333333335,0.023333333333333317,0.0,0.0,true,0
unhelpful,1,0.25,1247,5000,0.05,0.3186101778057927,0.0521922551264293,0.17370124653078364,0.46351910908080174,0.142636,0.023090132941048277,0.010000000000000009,0.054632492774433807,0.03833333333333333,0.0,0.014603213486802158,true,0
unhelpful,1,0.25,1247,5000,0.1,0.3186101778057927,0.0521922551264293,0.17370124653078364,0.46351910908080174,0.142636,0.031272578849297177,0.01768666666666674,0.07608257835409776,0.04490000000000027,0.0,5.746175501086803e-6,true,0
unhelpful,1,0.25,1247,5000,0.2,0.3186101778057927,0.0521922551264293,0.17370124653078364,0.46351910908080174,0.142636,0.0408452672439553,0.0238875,0.10653262903329073,0.0643200000000001,0.0,1.318944953254686e-13,true,0
clone,2,0.25,1247,5000,0.01,0.7556352104247942,0.003095418695534369,0.74704095033904,0.7642294705105483,0.7619779999999999,0.07131858286558798,0.046088837712425335,0.09431278180285214,0.10933333333333328,0.072,0.742097653714515,false,0
clone,2,0.25,1247,5000,0.05,0.7556352104247942,0.003095418695534369,0.74704095033904,0.7642294705105483,0.7619779999999999,0.15465075001123404,0.13390838955767856,0.18129148669114684,0.23233333333333328,0.16924603174603173,0.16250930661032736,false,0
clone,2,0.25,1247,5000,0.1,0.7556352104247942,0.003095418695534369,0.74704095033904,0.7642294705105483,0.7619779999999999,0.2314478810037512,0.20765156807046406,0.25524617440089287,0.35117333333333334,0.2689667250437829,0.2277238148202283,false,0
clone,2,0.25,1247,5000,0.2,0.7556352104247942,0.003095418695534369,0.74704095033904,0.7642294705105483,0.7619779999999999,0.3460222553989342,0.31902650603112537,0.3746132326949706,0.5780000000000001,0.3763565891472868,0.270718578158504,false,0
premium,2,0.25,1247,5000,0.01,0.7587768560309114,0.0032051486642580914,0.7498779367106008,0.767675775351222,0.76226,0.07121495884522651,0.04614433238083315,0.0942807177926904,0.10933333333333328,0.09015151515151514,0.7127179792883531,false,0
premium,2,0.25,1247,5000,0.05,0.7587768560309114,0.0032051486642580914,0.7498779367106008,0.767675775351222,0.76226,0.15335114841798564,0.1334293895608431,0.18370256779980135,0.23233333333333328,0.18,0.15035899365182737,false,0
premium,2,0.25,1247,5000,0.1,0.7587768560309114,0.0032051486642580914,0.7498779367106008,0.767675775351222,0.76226,0.23231860713742591,0.2074465641130141,0.2565693474584092,0.35117333333333334,0.2567366412213741,0.34614620884064196,false,0
