policy,n_eval,alpha,seed,cvar_est,t_hat,ci_lo,ci_hi,n_boot_fail,runtime_sec
clone,5000,0.005,0,0.05555010775999902,0.08066666666666666,0.018909663398980574,0.07386977083975284,0,4.7775139808654785
clone,5000,0.005,1,0.0668550111801138,0.08066666666666666,0.05000799688088447,0.09309713866200177,0,4.8242669105529785
clone,5000,0.005,4,0.06754337866292834,0.0853976666666666,0.04996357216833013,0.08978002849972365,0,4.866736888885498
clone,5000,0.005,5,0.06788311496895824,0.08066666666666666,0.05177409285284224,0.08858246104637274,0,4.9439380168914795
clone,5000,0.005,3,0.06435162295952869,0.08066666666666666,0.0458396304642368,0.09012397536818942,0,4.967742919921875
clone,5000,0.005,2,0.04057730344318786,0.049236999999999975,0.023473683024945315,0.062263375924352625,0,5.001667022705078
clone,5000,0.005,6,0.060799160980850066,0.10007100000000002,0.046606312698869855,0.08422884897536474,0,5.048389911651611
clone,5000,0.005,7,0.06430998913251786,0.08066666666666666,0.0387658214679928,0.08745742597119617,0,5.051564931869507
clone,5000,0.005,10,0.07202593800346727,0.10166666666666657,0.05282467212260957,0.09125484669377937,0,4.718713998794556
clone,5000,0.005,8,0.06033162930400168,0.07700000000000007,0.042509914286200136,0.07901625708777932,0,4.86328911781311
clone,5000,0.005,11,0.06803147833982451,0.08382066666666677,0.050238888394720155,0.09004706191082783,0,4.775650978088379
clone,5000,0.005,14,0.04682524048337235,0.08617750000000002,0.022874190137235642,0.08294081243304435,0,4.733270645141602
clone,5000,0.005,12,0.07559950135732083,0.09273100000000001,0.05832759587890607,0.09287553622352354,0,4.86727499961853
clone,5000,0.005,9,0.04371922715202584,0.06799999999999995,0.031083707035568873,0.07101181121318233,0,5.023035764694214
clone,5000,0.005,13,0.06845854651771613,0.08066666666666666,0.05002148770908721,0.08511421477854736,0,4.886637210845947
clone,5000,0.005,15,0.061585410839537835,0.08066666666666666,0.04287862244803861,0.0854403953994285,0,4.907572984695435
clone,5000,0.005,18,0.05664003808291183,0.08541500000000035,0.024868697919620424,0.08442731077141984,0,4.653193950653076
clone,5000,0.005,16,0.06657251413320026,0.08433333333333337,0.05031832042261882,0.08821156483457784,0,4.793789863586426
clone,5000,0.005,17,0.06692290663732987,0.08066666666666666,0.048572512494578876,0.08399131159214746,0,4.748840808868408
clone,5000,0.01,2,0.05322150979154082,0.08799999999999997,0.04053751684734176,0.07255098428413395,0,4.730813980102539
clone,5000,0.005,19,0.06743882107243038,0.08748733333333325,0.05222775095687705,0.08588242581680966,0,4.84454607963562
clone,5000,0.01,0,0.06810838721333284,0.08066666666666666,0.04470456474715354,0.08764021120953323,0,4.8280298709869385
clone,5000,0.01,1,0.08726299877586358,0.10933333333333328,0.06762418262779267,0.11171226952709569,0,4.838186979293823
clone,5000,0.01,3,0.08133075144426496,0.11854633333333342,0.06869732515694216,0.10991605327937691,0,4.957509994506836
clone,5000,0.01,5,0.08090735825170273,0.11316666666666675,0.06684249009191043,0.10718667391554144,0,4.9160990715026855
clone,5000,0.01,4,0.08317379079230623,0.09966666666666668,0.06456443662371023,0.09543355133021003,0,5.0367209911346436
clone,5000,0.01,6,0.07607833335045874,0.10933333333333328,0.062044355775955615,0.09361560559161733,0,5.274538040161133
clone,5000,0.01,8,0.07499554152139343,0.10933333333333328,0.06057793880349664,0.09231940048387957,0,5.057757377624512
clone,5000,0.01,10,0.08801048293770689,0.10757000000000028,0.07490864159938297,0.1139033705336898,0,5.028634786605835
clone,5000,0.01,7,0.0831827304679939,0.11547533333333326,0.06621132700512194,0.11164232595812253,0,5.107518911361694
clone,5000,0.01,9,0.06587525851431317,0.09699999999999998,0.05260713058967225,0.08553830637443671,0,5.115031957626343
clone,5000,0.01,11,0.08304752561945192,0.09648733333333337,0.06518347019294628,0.10549813812677292,0,5.165739059448242
clone,5000,0.01,13,0.08127930787117327,0.10933333333333328,0.06829607063942465,0.09594065298821781,0,4.878772020339966
clone,5000,0.01,12,0.08759809423040107,0.10699999999999998,0.07615575034822415,0.10737790959772973,0,5.034006118774414
clone,5000,0.01,15,0.07359261656935133,0.08697466666666664,0.06078894158390754,0.09317481860110036,0,4.80978798866272
clone,5000,0.01,14,0.07590152896615962,0.138,0.056405190955669156,0.11351346124733641,0,4.847772121429443
clone,5000,0.01,17,0.07838782019570435,0.11930866666666673,0.06455529485053096,0.10542334468664243,0,4.800554037094116
clone,5000,0.01,16,0.0805047210891374,0.12237966666666655,0.06612322211162099,0.1036027891448378,0,4.863959074020386
clone,5000,0.01,18,0.07550343330489925,0.09746200000000005,0.05583774460566553,0.09934616056579418,0,4.886708974838257
clone,5000,0.01,19,0.0830181060787535,0.10066666666666668,0.06695309159674073,0.10446878089634093,0,4.7165069580078125
clone,5000,0.05,0,0.16904609696509895,0.2886666666666666,0.1414479629948781,0.1999725428408857,0,4.618060111999512
clone,5000,0.05,1,0.18614186831284665,0.26049999999999995,0.1616680219084347,0.21389499365378115,0,4.681107997894287
clone,5000,0.05,2,0.14948201906320488,0.25849999999999995,0.12439882537017921,0.18075429469174786,0,4.558825969696045
clone,5000,0.05,4,0.16630720170346097,0.26274999999999993,0.1391091195714624,0.1895256140440768,0,4.570315837860107
clone,5000,0.05,3,0.18145987346357478,0.26049999999999995,0.1584760360802543,0.20770069968273916,0,4.632725954055786
clone,5000,0.05,5,0.18764494327286602,0.29333333333333333,0.16263097747146518,0.21749900022592414,0,4.66274094581604
clone,5000,0.05,6,0.17889360122098957,0.2886666666666666,0.1500662533406058,0.20671593133292424,0,4.788460731506348
clone,5000,0.05,7,0.17873130041463142,0.26049999999999995,0.15978858289786796,0.19981734347081914,0,4.734577178955078
clone,5000,0.05,8,0.17213151002548693,0.256,0.15116230802365793,0.19953393993782098,0,5.039615869522095
clone,5000,0.05,10,0.1925181629449687,0.28400000000000003,0.17058088137020397,0.220928073198662,0,4.9446210861206055
clone,5000,0.05,9,0.1695170645792472,0.26049999999999995,0.14266738788504862,0.19483506846747284,0,5.074864864349365
clone,5000,0.05,11,0.17439922743242914,0.26588999999999996,0.15099167386609375,0.20339809869816894,0,5.020070791244507
clone,5000,0.05,12,0.17950629746480726,0.2695000000000001,0.1614859933328602,0.20408947012394643,0,5.032609939575195
clone,5000,0.05,13,0.16852755270048234,0.2886666666666666,0.1424278828699679,0.20341076516046877,0,5.049853324890137
clone,5000,0.05,15,0.1575550421560441,0.23233333333333328,0.13913642549666863,0.18231974350526495,0,4.9631476402282715
clone,5000,0.05,14,0.1993823900231657,0.29333333333333333,0.17529472625278153,0.223884317841193,0,5.229810953140259
clone,5000,0.05,16,0.17621283544228838,0.2703899999999999,0.15250219477874472,0.2044002047589298,0,4.871675729751587
clone,5000,0.05,17,0.1872684338488529,0.29333333333333333,0.1624617807044618,0.21582646456774787,0,4.9579079151153564
clone,5000,0.05,19,0.16912907305703434,0.27488999999999997,0.15409676187990115,0.19840744751568387,0,4.932974100112915
clone,5000,0.05,18,0.1714112515020586,0.27488999999999997,0.15010615666104749,0.19930654536798786,0,5.057621002197266
clone,25000,0.005,0,0.054996126645830354,0.08066666666666666,0.023234525828918325,0.07526352123400962,0,10.602773904800415
clone,25000,0.005,2,0.04011234375921292,0.049236999999999975,0.021605231297546452,0.054719801156069225,0,10.687932252883911
clone,25000,0.005,3,0.06600677894464152,0.08066666666666666,0.05257426541623826,0.088818114862173,0,10.767664909362793
clone,25000,0.005,1,0.06552662352371895,0.08066666666666666,0.0500007856991436,0.09242569931818978,0,11.20932412147522
clone,25000,0.005,4,0.07010209768785614,0.0853976666666666,0.053058183376443295,0.08702141034605378,0,10.846708059310913
clone,25000,0.005,5,0.0641775605013572,0.08066666666666666,0.04997488266247478,0.0834085254898697,0,10.916068077087402
clone,25000,0.005,6,0.05289017712110115,0.10007100000000002,0.04319999611905709,0.07220421539653636,0,11.225839138031006
clone,25000,0.005,7,0.06473984591113179,0.08066666666666666,0.04522045124656106,0.08995767521004441,0,11.251973867416382
clone,25000,0.005,8,0.06083945350888838,0.07700000000000007,0.040710182718016935,0.07686510895463823,0,11.05153203010559
clone,25000,0.005,10,0.06964508004512732,0.10166666666666657,0.05177994557451557,0.08725006118119033,0,10.556235074996948
clone,25000,0.005,9,0.04643029411941468,0.06799999999999995,0.03228496166047037,0.06936010551169562,0,11.020571231842041
clone,25000,0.005,11,0.06978456614106364,0.08382066666666677,0.05087266856670859,0.0899777665297101,0,10.897270917892456
clone,25000,0.005,13,0.06527679795120223,0.08066666666666666,0.05274295485335976,0.0824628641618313,0,10.472975730895996
clone,25000,0.005,12,0.07425716716257175,0.09273100000000001,0.0628737096571596,0.08885078984644201,0,10.881498098373413
clone,25000,0.005,14,0.04295165534961906,0.08617750000000002,0.014729140072348608,0.08402378656200558,0,10.523517847061157
clone,25000,0.005,15,0.06362882744175902,0.08066666666666666,0.04538456941196629,0.08578593293063785,0,10.849700212478638
clone,25000,0.005,16,0.06880048938112684,0.08433333333333337,0.050983129031998885,0.0916338229984847,0,10.500691175460815
clone,25000,0.005,17,0.0650174530718461,0.08066666666666666,0.048050779034298066,0.08659496906210513,0,10.337055921554565
clone,25000,0.005,18,0.05916074404138699,0.08541500000000035,0.029330778366470106,0.08426408355850792,0,10.555891990661621
clone,25000,0.005,19,0.06752434274389917,0.08748733333333325,0.05439580329951961,0.08964496735474732,0,10.710926055908203
clone,25000,0.01,0,0.06783139665624852,0.08066666666666666,0.048680181619670596,0.0874786699519299,0,10.198271989822388
clone,25000,0.01,2,0.05070352828474231,0.08799999999999997,0.03811450672276043,0.06900942204304153,0,10.450719118118286
clone,25000,0.01,1,0.08499996997233764,0.10933333333333328,0.0652813513783635,0.10821717152330979,0,10.800909757614136
clone,25000,0.01,3,0.08152052389596377,0.11854633333333342,0.07113185233050774,0.10846690751268721,0,10.488058805465698
clone,25000,0.01,4,0.08459603141448603,0.09966666666666668,0.06989830395128706,0.09714944679537478,0,10.323071956634521
clone,25000,0.01,5,0.07566421911048848,0.11316666666666675,0.06416644111719609,0.10004304000772077,0,10.439303874969482
clone,25000,0.01,6,0.07150660610798686,0.10933333333333328,0.05990718281344357,0.08809188774297462,0,10.732080936431885
clone,25000,0.01,7,0.08431048229611235,0.11547533333333326,0.06915399979949652,0.11412402384542858,0,10.892066955566406
clone,25000,0.01,8,0.07531179144806055,0.10933333333333328,0.060223515521544674,0.09355141664197228,0,10.824455738067627
clone,25000,0.01,10,0.08681322529826768,0.10757000000000028,0.07405757578511123,0.10929170637164039,0,10.38428282737732
clone,25000,0.01,9,0.06850732235178786,0.09699999999999998,0.05330500435068418,0.08350678090645297,0,10.71868109703064
clone,25000,0.01,11,0.08425831670674676,0.09648733333333337,0.06821259849600361,0.10218214885102016,0,10.670274019241333
clone,25000,0.01,13,0.07850385534217351,0.10933333333333328,0.06986803340229457,0.09437791413616885,0,10.527890920639038
clone,25000,0.01,12,0.08652183613065473,0.10699999999999998,0.07640817792563805,0.10707372281955793,0,10.876984119415283
clone,25000,0.01,14,0.0711728273810969,0.10933333333333328,0.04658399935766998,0.10742819062260744,0,10.574636936187744
clone,25000,0.01,15,0.07502570376174313,0.08697466666666664,0.064562774142897,0.09273322337624988,0,10.65158486366272
clone,25000,0.01,16,0.08327236612907149,0.12237966666666655,0.06922790890649935,0.11297936697267559,0,10.559590101242065
clone,25000,0.01,17,0.07575939201774103,0.09064133333333335,0.06436683508811897,0.11939317924292023,0,10.20320200920105
clone,25000,0.01,18,0.07859413523438884,0.09746200000000005,0.060922582666181085,0.10158987491610484,0,10.94913101196289
clone,25000,0.01,19,0.08308400870296716,0.10066666666666668,0.07004956048275351,0.10947669077374421,0,11.016077995300293
clone,25000,0.05,0,0.16853200980136473,0.2886666666666666,0.14067829045786398,0.1942715708273399,0,10.814385890960693
clone,25000,0.05,1,0.18242702921736692,0.26049999999999995,0.16189084214989927,0.20649706342706955,0,11.08998990058899
clone,25000,0.05,2,0.14500127500422327,0.25849999999999995,0.11971329600638722,0.17226228410052907,0,10.763598918914795
clone,25000,0.05,3,0.17917835455076014,0.26049999999999995,0.1607060180041171,0.20288748665315642,0,10.908061981201172
clone,25000,0.05,4,0.17089725323798646,0.26274999999999993,0.1484033482974352,0.1953489596482056,0,10.797120809555054
clone,25000,0.05,5,0.17916534994928907,0.29333333333333333,0.1539904962912598,0.21115645306563183,0,10.988441944122314
clone,25000,0.05,6,0.1743190900477477,0.2886666666666666,0.14656807623705595,0.1976722101602044,0,11.049181938171387
clone,25000,0.05,7,0.1821349287474856,0.26049999999999995,0.16524846930969228,0.2048937417191744,0,11.092981100082397
clone,25000,0.05,8,0.1728614794681535,0.28400000000000003,0.15073476570060163,0.20203336105775213,0,11.459633111953735
clone,25000,0.05,10,0.19384352738812577,0.28400000000000003,0.17204756703000817,0.21958800374040252,0,10.792527914047241
clone,25000,0.05,9,0.1699519890640937,0.26049999999999995,0.14978148921417966,0.19451355156179528,0,11.450605154037476
clone,25000,0.05,11,0.175636259801693,0.26588999999999996,0.15099448350672862,0.1994088879598567,0,11.35023283958435
clone,25000,0.05,13,0.16586969365546753,0.2886666666666666,0.14126810667281695,0.19373369852864214,0,11.274578094482422
clone,25000,0.05,12,0.17750851577026205,0.2695000000000001,0.15896518825888756,0.2010992227671376,0,11.66909408569336
clone,25000,0.05,14,0.19465313986714766,0.29333333333333333,0.17064175449604563,0.21943285438835072,0,11.36716914176941
clone,25000,0.05,15,0.16083280373583173,0.23233333333333328,0.14386955670901036,0.18275655554103035,0,11.488440036773682
clone,25000,0.05,17,0.1819969995523376,0.29333333333333333,0.16078231460986184,0.21748229536925115,0,10.673218250274658
clone,25000,0.05,16,0.18061475491224488,0.2703899999999999,0.15595891564859332,0.2060029132934213,0,11.164029121398926
clone,25000,0.05,18,0.18211326594421245,0.27488999999999997,0.16083023628193602,0.20739117255203657,0,11.349132061004639
clone,25000,0.05,19,0.16900386917294552,0.27488999999999997,0.15063121049351966,0.20001252063397604,0,11.22867727279663
clone,100000,0.005,0,0.05612957521417046,0.08066666666666666,0.022730574873111913,0.07602382084217024,0,40.520713090896606
clone,100000,0.005,2,0.04014480956023475,0.049236999999999975,0.018572344474204742,0.05976396339286833,0,41.67652082443237
clone,100000,0.005,1,0.06477489008421364,0.08066666666666666,0.04982585749837093,0.09068522311663037,0,42.73551607131958
clone,100000,0.005,3,0.06649034567079085,0.08066666666666666,0.051039807224035894,0.09012533275364819,0,41.331708908081055
clone,100000,0.005,4,0.06979382196525287,0.0853976666666666,0.05418271368557307,0.09059214344627023,0,41.772340059280396
