sigma,alpha,n_train,truth,mean_stoploss,p05_stoploss,p95_stoploss,bias_stoploss,rmse_stoploss,mean_plugin_ru,p05_plugin_ru,p95_plugin_ru,bias_plugin_ru,rmse_plugin_ru
0.0,0.05,5000,0.21500819853676897,0.21481082976318602,0.21299776497977674,0.21651779332747545,-0.00019736877358295102,0.0011043240910440935,0.21481106008484907,0.212997841460596,0.21651794303661312,-0.00019713845191990376,0.0011042971826981873
0.02,0.05,5000,0.20849587150117674,0.20783039629105093,0.2052574030683135,0.2102346036211226,-0.0006654752101258044,0.001640353433980202,0.2138836487573639,0.21116625507200962,0.21655575089360218,0.005387777256187165,0.005622596111006118
0.04,0.05,5000,0.1923419991357045,0.19157027263366036,0.18757494226200772,0.1956132871892563,-0.0007717265020441288,0.0025352389389671436,0.21357733180068195,0.20902056251454582,0.2180545314169591,0.021235332664977458,0.02140897676359707
0.06,0.05,5000,0.17113138845397655,0.17063703595970117,0.1651431046891923,0.17606249138342184,-0.0004943524942753741,0.0034350764228267406,0.2125854379965865,0.20637598646714392,0.21855238233758173,0.04145404954260995,0.04162409517422031
0.08,0.05,5000,0.1468605472633947,0.14658881077749822,0.14001938218955218,0.1528554708465663,-0.00027173648589648436,0.003981160860640638,0.21250062770667738,0.20405965365563394,0.22055111767859498,0.06564008044328268,0.06583348093689932
0.1,0.05,5000,0.12100329851366351,0.12083779400318227,0.11260863736636924,0.1281888105898869,-0.0001655045104812375,0.004607328707868468,0.21178469253262688,0.20234765179422368,0.2214964977278984,0.09078139401896337,0.09098412686700708
0.12,0.05,5000,0.09513313794550646,0.0951946988594505,0.08730158296685588,0.10303444150875345,6.156091394404761e-05,0.004905698769777988,0.21271571474172518,0.20219722340337937,0.22333627127564615,0.11758257679621872,0.117756066012439
0.14,0.05,5000,0.0706445231586771,0.07118136204190183,0.06356409893708449,0.07969042933743732,0.0005368388832247273,0.005016550991611316,0.21391486034354354,0.20119779340130717,0.2254741622442001,0.14327033718486643,0.1434579234363428
0.16,0.05,5000,0.04869954260340449,0.04884758791840254,0.040734016512509665,0.05726910607261564,0.0001480453149980479,0.005088554784164214,0.21578767512568803,0.20251080199768828,0.2311619367925775,0.16708813252228355,0.16731540309870988
0.18,0.05,5000,0.030160569812409083,0.030091039950297757,0.023934263699813153,0.03798334544657119,-6.95298621113255e-05,0.004163187621102662,0.21844090604003744,0.20156299678852285,0.23413246006205196,0.18828033622762835,0.18853309981768795
0.2,0.05,5000,0.015670699315756417,0.015676903580016714,0.01078140004218814,0.021486889898962875,6.20426426029691e-06,0.0032896020000876868,0.22233503589794637,0.20647694158596577,0.239159919533725,0.20666433658218997,0.2068895068136779
0.0,0.1,5000,0.23001803856734768,0.22963095254342544,0.2269398577211341,0.23235079486313415,-0.000387086023922234,0.001679391555757671,0.22963107169337205,0.22693986717520337,0.23235079493072533,-0.00038696687397563045,0.001679357106207723
0.02,0.1,5000,0.22667976641666115,0.22634869326630758,0.2233153640763725,0.22934047952415515,-0.000331073150353578,0.0018731282442749889,0.2294868606880275,0.22641003292235198,0.23259095063193716,0.002807094271366356,0.003360899545623156
0.04,0.1,5000,0.21696681777819354,0.21685779368919256,0.21304124792144427,0.22055124658086894,-0.00010902408900098637,0.002263782109645796,0.22932704713799448,0.22581947152933882,0.23292225509113415,0.01236022935980094,0.012561851926795448
0.06,0.1,5000,0.20246734184761458,0.20197965889773264,0.19781210428066118,0.20632094065708545,-0.00048768294988194016,0.0027424132653955675,0.2285481602817816,0.22384294647574446,0.2334210488671891,0.026080818434167014,0.026245751099348576
0.08,0.1,5000,0.1847264972139678,0.18451735910528783,0.17889540771708531,0.18998902859304692,-0.00020913810867997928,0.003451318544567101,0.2287330578785049,0.22255882454266246,0.23484718885924571,0.04400656066453709,0.04416963367131251
