sigma,alpha,n_train,truth,bias_stoploss,bias_plugin_qt,bias_plugin_ru,rmse_stoploss,rmse_plugin_qt,rmse_plugin_ru
0.01,0.05,500,0.21331069396915106,-0.0003411572368782756,0.0015103421631389446,0.0007869084188175668,0.0023552755993994272,0.0028071193387555014,0.002494254969542027
0.01,0.05,5000,0.21331069396915106,-0.00034679366767342845,0.0015228129384712297,0.001186488104429284,0.001165416710064211,0.0019487344496345593,0.0016346174037177481
0.01,0.1,500,0.22917200705162763,-0.00020355138385222404,0.0008048642457257615,0.00038048397050916005,0.002044802640949528,0.002222558057591273,0.002095226430896135
0.01,0.1,5000,0.22917200705162763,-0.0006590808904511358,0.0005847207906234664,0.00011431982066825719,0.001942431295232649,0.0017589284891285672,0.0018393744650389474
0.01,0.25,500,0.2746784060534359,5.626838846045645e-05,0.0004330928416528823,0.000282758691087015,0.0025453737615029194,0.002576099091184804,0.002551760764302857
0.01,0.25,5000,0.2746784060534359,0.0001032967825119191,0.0005397052884786313,0.00041149602307494204,0.002224717833479057,0.0022300949434501706,0.0022583884431327324
0.05,0.05,500,0.18218473428778922,-0.0006171426674050906,0.027782623872433826,0.02644350998807979,0.00816366179605848,0.029466661168929213,0.028168177410339352
0.05,0.05,5000,0.18218473428778922,-0.0004218319830333328,0.03214538962296934,0.03140905820212403,0.0029272394555092387,0.032293816698014996,0.03154998885074873
0.05,0.1,500,0.21020334287357087,-0.000580748289407601,0.01772099945012623,0.01698701312155798,0.00585169237220705,0.018986796026025918,0.018313945950690007
0.05,0.1,5000,0.21020334287357087,-0.00017049579460659547,0.01926012999360624,0.01873166790503014,0.002395122660582475,0.019419335964745963,0.018884827007534497
0.05,0.25,500,0.2666435118389762,-0.0002333185692661166,0.0073187747458365315,0.006993209555032132,0.004812495078119255,0.008965433655045993,0.008704394515689903
0.05,0.25,5000,0.2666435118389762,-6.82519932404535e-05,0.00817962265539951,0.008024900245418465,0.002713512701107146,0.008643486793308454,0.00849800520668908
0.1,0.05,500,0.12100370540109766,0.00016848748385057954,0.0841157058988083,0.08206684468097457,0.013029185740005939,0.08584029853749861,0.08372852467883038
0.1,0.05,5000,0.12100370540109766,-0.000903752716318651,0.0919639539734247,0.0905572307843203,0.004336143845370282,0.09214407599826999,0.09074661955250703
0.1,0.1,500,0.1648807223762089,-0.000657152750857537,0.06062552420835324,0.05938536520705043,0.010449726777010962,0.06192949943750583,0.06068747432990428
0.1,0.1,5000,0.1648807223762089,-0.0006148023448892259,0.06399123475438026,0.06320239642798292,0.003916839843838554,0.06414418892539021,0.06335639844562387
0.1,0.25,500,0.24256722449200022,-0.0007486328900592198,0.0302664097932773,0.02978371811195754,0.008114836081943211,0.0315508805663315,0.031064540631470506
0.1,0.25,5000,0.24256722449200022,-0.000530557594891401,0.03175581009810344,0.03149723461942969,0.003350273083249359,0.03195518388092156,0.031700997683272315
0.2,0.05,500,0.01567691329707586,0.002577385415792152,0.19066280298335708,0.1879126653827334,0.011194542407581845,0.1929911252521406,0.19016734368002744
0.2,0.05,5000,0.01567691329707586,-0.0002318730755808008,0.2090670813603169,0.20692386843347663,0.0034349162097648176,0.2093341225742505,0.207169268582761
0.2,0.1,500,0.06527442990413403,0.000938269082514126,0.16594308039817468,0.16407794538866122,0.014061773477182595,0.1674257621819496,0.16552038095931254
0.2,0.1,5000,0.06527442990413403,0.0005858159433016624,0.17434503210803365,0.17325515134168656,0.00486513957170946,0.17457943505480386,0.17348099560693234
0.2,0.25,500,0.17193180201309105,-0.0005687723504917142,0.10647957568668792,0.10556728361180406,0.013898088576500718,0.10771695668635034,0.1068043408956725
0.2,0.25,5000,0.17193180201309105,9.442172389154124e-05,0.11024191534747524,0.10980719935007455,0.004471986944354212,0.11041341346671033,0.10997328160287145
