2026-05-02T08:29:19 [cvar_v5.mc] INFO: mode=smoke  cells=40  R=5  policies=['uniform', 'right_skew', 'left_skew', 'tail_heavy']  alphas=(0.1, 1.0)  deltas=(0.0,)  omega=['analytical', 'boot_remax_ridge', 'boot_remax_no_ridge', 'boot_fixed']  workers=4  out_dir=/Users/pranjal/Code/cvar-cje/cvar_v5/mc/runs/2026-05-02T082919_smoke
2026-05-02T08:29:19 [cvar_v5.mc] INFO: 2/40 cells (  5.0%,    0.1s)
2026-05-02T08:29:19 [cvar_v5.mc] INFO: 4/40 cells ( 10.0%,    0.1s)
2026-05-02T08:29:19 [cvar_v5.mc] INFO: 6/40 cells ( 15.0%,    0.2s)
2026-05-02T08:29:19 [cvar_v5.mc] INFO: 8/40 cells ( 20.0%,    0.2s)
2026-05-02T08:29:19 [cvar_v5.mc] INFO: 10/40 cells ( 25.0%,    0.3s)
2026-05-02T08:29:19 [cvar_v5.mc] INFO: 12/40 cells ( 30.0%,    0.3s)
2026-05-02T08:29:19 [cvar_v5.mc] INFO: 14/40 cells ( 35.0%,    0.3s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 16/40 cells ( 40.0%,    0.4s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 18/40 cells ( 45.0%,    0.4s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 20/40 cells ( 50.0%,    0.4s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 22/40 cells ( 55.0%,    0.5s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 24/40 cells ( 60.0%,    0.5s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 26/40 cells ( 65.0%,    0.6s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 28/40 cells ( 70.0%,    0.6s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 30/40 cells ( 75.0%,    0.7s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 32/40 cells ( 80.0%,    0.7s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 34/40 cells ( 85.0%,    0.7s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 36/40 cells ( 90.0%,    0.8s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 38/40 cells ( 95.0%,    0.8s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: 40/40 cells (100.0%,    0.9s)
2026-05-02T08:29:20 [cvar_v5.mc] INFO: done. 160 rows in 0.9s.
2026-05-02T08:29:20 [cvar_v5.mc] INFO: wrote /Users/pranjal/Code/cvar-cje/cvar_v5/mc/runs/2026-05-02T082919_smoke/results_mc.csv
