policy,alpha,rep,delta,omega_estimator,n_calib,n_audit,n_eval,estimate,mean_ref,t_hat,truth_cvar,truth_mean,abs_error,alpha1_collapse_err,audit_W,audit_p,audit_g1,audit_g2,audit_decision
uniform,0.1,0,0.3,analytical,496,104,1000,0.036978385212400385,0.4561964705512163,0.08333333333333333,0.05000000000000001,0.5,0.013021614787599625,0.0,0.6017888616961831,0.7401559062536944,0.024999999999999998,0.0006993644348863065,PASS
uniform,0.1,0,0.3,boot_remax_ridge,496,104,1000,0.036978385212400385,0.4561964705512163,0.08333333333333333,0.05000000000000001,0.5,0.013021614787599625,0.0,0.060686841798896995,0.9701123194901219,0.024999999999999998,0.0006993644348863065,PASS
uniform,0.1,0,0.3,boot_remax_no_ridge,496,104,1000,0.036978385212400385,0.4561964705512163,0.08333333333333333,0.05000000000000001,0.5,0.013021614787599625,0.0,0.9276291788921689,0.6288801446742076,0.024999999999999998,0.0006993644348863065,PASS
uniform,0.1,0,0.3,boot_fixed,496,104,1000,0.036978385212400385,0.4561964705512163,0.08333333333333333,0.05000000000000001,0.5,0.013021614787599625,0.0,0.6755264195347338,0.7133641855722871,0.024999999999999998,0.0006993644348863065,PASS
uniform,0.1,0,0.0,analytical,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,1.0610161676823924,0.5883059849654964,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.0,boot_remax_ridge,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,0.11639187490115539,0.9434650691847382,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.0,boot_remax_no_ridge,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,1.7349009590724869,0.4200210375576233,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.0,boot_fixed,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,1.176996512014195,0.555160367786627,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.1,analytical,496,104,1000,0.044081514191544824,0.48109804848197996,0.1,0.05000000000000001,0.5,0.005918485808455186,0.0,1.0610161676823924,0.5883059849654964,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.1,boot_remax_ridge,496,104,1000,0.044081514191544824,0.48109804848197996,0.1,0.05000000000000001,0.5,0.005918485808455186,0.0,0.11639187490115539,0.9434650691847382,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.1,boot_remax_no_ridge,496,104,1000,0.044081514191544824,0.48109804848197996,0.1,0.05000000000000001,0.5,0.005918485808455186,0.0,1.7349009590724869,0.4200210375576233,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.1,boot_fixed,496,104,1000,0.044081514191544824,0.48109804848197996,0.1,0.05000000000000001,0.5,0.005918485808455186,0.0,1.176996512014195,0.555160367786627,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.5,analytical,496,104,1000,0.03198570720037464,0.42725626698103847,0.08333333333333333,0.05000000000000001,0.5,0.018014292799625367,0.0,0.6017888616961831,0.7401559062536944,0.024999999999999998,0.0006993644348863065,PASS
uniform,0.1,0,0.5,boot_remax_ridge,496,104,1000,0.03198570720037464,0.42725626698103847,0.08333333333333333,0.05000000000000001,0.5,0.018014292799625367,0.0,0.060686841798896995,0.9701123194901219,0.024999999999999998,0.0006993644348863065,PASS
