policy,alpha,rep,delta,omega_estimator,n_calib,n_audit,n_eval,estimate,mean_ref,t_hat,truth_cvar,truth_mean,abs_error,alpha1_collapse_err,audit_W,audit_p,audit_g1,audit_g2,audit_decision
uniform,0.1,2,0.0,analytical,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.08468840908323544,0.9585397900345705,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.0,boot_remax_ridge,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.003567062454294404,0.9982180583195294,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.0,boot_remax_no_ridge,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.14740886671156547,0.9289462187856252,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.0,boot_fixed,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.08749922576731563,0.9571935964149304,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,3,0.0,analytical,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,5.124552719196377,0.07712896719287099,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.0,boot_remax_ridge,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,0.05801475680839288,0.9714092969897292,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.0,boot_remax_no_ridge,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,1.532449425675037,0.4647643793750841,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.0,boot_fixed,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,5.032473103824217,0.08076298281466943,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,0,0.0,analytical,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,1.0610161676823924,0.5883059849654964,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.0,boot_remax_ridge,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,0.11639187490115539,0.9434650691847382,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.0,boot_remax_no_ridge,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,1.7349009590724869,0.4200210375576233,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,0,0.0,boot_fixed,496,104,1000,0.04705616677874916,0.5175595288735281,0.1,0.05000000000000001,0.5,0.002943833221250851,0.0,1.176996512014195,0.555160367786627,0.03461538461538461,0.0011874483923862555,PASS
uniform,0.1,1,0.0,analytical,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,16.51900947684497,0.00025878712680982296,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,1,0.0,boot_remax_ridge,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,0.32786498652819024,0.848799319617699,-0.059595959595959584,-0.0026063279579179675,PASS
uniform,0.1,1,0.0,boot_remax_no_ridge,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,7.33849603848237,0.025495634966843483,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,1,0.0,boot_fixed,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,16.055489689518275,0.00032628319911698345,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,4,0.0,analytical,499,101,1000,0.053484207412617765,0.49992624109702616,0.11666666666666667,0.05000000000000001,0.5,0.0034842074126177555,0.0,3.6744212820111652,0.1592610433391295,0.03861386138613862,-0.001720869649270628,PASS
uniform,0.1,4,0.0,boot_remax_ridge,499,101,1000,0.053484207412617765,0.49992624109702616,0.11666666666666667,0.05000000000000001,0.5,0.0034842074126177555,0.0,0.1403400595393532,0.9322352986765478,0.03861386138613862,-0.001720869649270628,PASS
uniform,0.1,4,0.0,boot_remax_no_ridge,499,101,1000,0.053484207412617765,0.49992624109702616,0.11666666666666667,0.05000000000000001,0.5,0.0034842074126177555,0.0,12.720440207706753,0.001728986113467057,0.03861386138613862,-0.001720869649270628,REFUSE-LEVEL
uniform,0.1,4,0.0,boot_fixed,499,101,1000,0.053484207412617765,0.49992624109702616,0.11666666666666667,0.05000000000000001,0.5,0.0034842074126177555,0.0,4.086608429221555,0.1295997771469244,0.03861386138613862,-0.001720869649270628,PASS
uniform,0.1,6,0.0,analytical,488,112,1000,0.034483930920451274,0.4810115390832508,0.08333333333333333,0.05000000000000001,0.5,0.015516069079548736,0.0,1.4461206924660661,0.48526490259600075,-0.02857142857142858,-0.0005101806834769457,PASS
uniform,0.1,6,0.0,boot_remax_ridge,488,112,1000,0.034483930920451274,0.4810115390832508,0.08333333333333333,0.05000000000000001,0.5,0.015516069079548736,0.0,0.08480980488248266,0.9584816104483169,-0.02857142857142858,-0.0005101806834769457,PASS
uniform,0.1,6,0.0,boot_remax_no_ridge,488,112,1000,0.034483930920451274,0.4810115390832508,0.08333333333333333,0.05000000000000001,0.5,0.015516069079548736,0.0,2.0258242439958427,0.36315987234225866,-0.02857142857142858,-0.0005101806834769457,PASS
