n_oracle,omega_estimator,mean_size,n_audit_median,size_dev
1500,analytical,0.165,249.5,0.115
1500,boot_fixed,0.165,249.5,0.115
1500,boot_remax_no_ridge,0.12,249.5,0.06999999999999999
1500,boot_remax_ridge,0.0,249.5,0.05
3000,analytical,0.23,504.0,0.18
3000,boot_fixed,0.24,504.0,0.19
3000,boot_remax_no_ridge,0.15,504.0,0.09999999999999999
3000,boot_remax_ridge,0.0,504.0,0.05
6000,analytical,0.41,1002.5,0.36
6000,boot_fixed,0.425,1002.5,0.375
6000,boot_remax_no_ridge,0.19,1002.5,0.14
6000,boot_remax_ridge,0.0,1002.5,0.05
