estimator,policy,alpha,bias,rmse,var_real,var_calib,truth,R,rmse_ratio,var_calib_ratio
direct_saddle,left_skew,0.05,0.003996936896416561,0.016114353761405086,0.0002565230448355519,0.0002114811418868439,0.3431709999746847,20,1.0,1.0
plugin_quantile,left_skew,0.05,0.1158873904389062,0.11849275329335925,0.0006427845476856998,0.0005983237829083833,0.3431709999746847,20,7.353242646140549,2.829206318682189
plugin_ru_dual,left_skew,0.05,0.11456072362520911,0.11717620989676326,0.0006380050191987133,0.000583209628240648,0.3431709999746847,20,7.271542603055409,2.7577382221281126
direct_saddle,left_skew,0.1,0.0014037622270133055,0.012221353128858537,0.00015514834095818017,0.00012120324817635799,0.4000320738436575,20,1.0,1.0
plugin_quantile,left_skew,0.1,0.09952007606437727,0.10163015900761604,0.0004467828211093492,0.0002937207053882004,0.4000320738436575,20,8.315786143813702,2.423373216539702
plugin_ru_dual,left_skew,0.1,0.09874339389091352,0.10085611495235797,0.0004438927223022587,0.00029940646697023977,0.4000320738436575,20,8.252450762935924,2.4702841835937055
direct_saddle,left_skew,0.2,-0.0006071207101368242,0.010765692932490013,0.00012161215658946149,0.00007751590980736457,0.4685343113273678,20,1.0,1.0
plugin_quantile,left_skew,0.2,0.08330901021937005,0.08484068911245923,0.0002711066793114265,0.00019027762814140728,0.4685343113273678,20,7.88065288918066,2.454691283560598
plugin_ru_dual,left_skew,0.2,0.08267619407795347,0.08417211252502743,0.0002627278523267915,0.0001832635632650011,0.4685343113273678,20,7.818550375982082,2.3642057962092027
direct_saddle,right_skew,0.05,-0.0014613562774002196,0.00549418451000507,0.000029526843432086974,0.000028497268937159684,0.04097252711860211,20,1.0,1.0
plugin_quantile,right_skew,0.05,0.0850529405978458,0.08555019710634902,0.00008929844273103247,0.00009794415093794301,0.04097252711860211,20,15.571045521052236,3.436966228375184
plugin_ru_dual,right_skew,0.05,0.0833790408129774,0.08384250708792619,0.00008158057673347807,0.00009306178378374232,0.04097252711860211,20,15.260227779982005,3.265638682392902
direct_saddle,right_skew,0.1,-0.0013506338471994787,0.005937118947075491,0.00003518438905528624,0.00003202021875563845,0.05966354426538299,20,1.0,1.0
plugin_quantile,right_skew,0.1,0.07994122420084676,0.08037957452661124,0.00007397544668316094,0.00006203917791045839,0.05966354426538299,20,13.538481415502826,1.9375001271511891
plugin_ru_dual,right_skew,0.1,0.0789628698905864,0.07945067162480025,0.0000813414739728032,0.00006946152450771479,0.05966354426538299,20,13.382024570003958,2.1693019975225276
direct_saddle,right_skew,0.2,-0.0020690395434666054,0.00593244060853438,0.00003253992309616765,0.000028485645216229832,0.08833469969738249,20,1.0,1.0
plugin_quantile,right_skew,0.2,0.07171750538658833,0.07217298731574695,0.00006898896758278242,0.0000496612025447632,0.08833469969738249,20,12.165817085790838,1.7433764328591894
